Ff_Number,So_Number,Order_Reference,Channel,Order_Created_Date,Warehouse,Planned_Date,Carrier,Sku,Sku_Name,Quantity
FF5193831,SO5766432,US893639,Shopify USA,2026-06-21 04:27:40.306482+00:00,Stord (US),2026-06-21,Stord,WCBWR1919,Body Wash Refill: Vanilla Butterscotch,1.0
FF5193886,SO5766485,2889686,Shopify EU,2026-06-21 04:28:20.713732+00:00,Airbox (EU),2026-06-21,Airbox,WCHWR1751,Summer Breeze Hand Wash Refill,1.0
FF5193886,SO5766485,2889686,Shopify EU,2026-06-21 04:28:20.713732+00:00,Airbox (EU),2026-06-21,Airbox,WCHWR2512,Black Cherry Handwash,1.0
FF5193961,SO5766562,US893722,Shopify USA,2026-06-21 04:28:54.778355+00:00,Stord (US),2026-06-21,Stord,WCR2554,Deo Refill: Winter Breeze,1.0
FF5194009,SO5766610,2889744,Shopify EU,2026-06-21 04:29:14.056542+00:00,Airbox (EU),2026-06-21,Airbox,WCSGR1751,Summer Breeze Body Wash Refill,1.0
FF5194486,SO5767088,US894077,Shopify USA,2026-06-21 04:32:18.140864+00:00,Stord (US),2026-06-21,Stord,WCR2554,Deo Refill: Winter Breeze,1.0
FF5194542,SO5767143,2889896,Shopify EU,2026-06-21 05:02:30.889422+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5194780,SO5767381,#5942928,Shopify UK,2026-06-21 06:59:32.812162+00:00,Airbox (EU),2026-06-21,Airbox,WCBWR1898,Cherry Chupa Chups Body Wash Refill,1.0
FF5194780,SO5767381,#5942928,Shopify UK,2026-06-21 06:59:32.812162+00:00,Airbox (EU),2026-06-21,Airbox,WCROC2556,Roll On Case: Chrome,1.0
FF5194780,SO5767381,#5942928,Shopify UK,2026-06-21 06:59:32.812162+00:00,Airbox (EU),2026-06-21,Airbox,WCROC2756,Roll On Case: Forest Green,1.0
FF5195044,SO5767645,#5943021,Shopify UK,2026-06-21 08:31:27.549803+00:00,Next (AU),2026-06-21,Next3PL,WMIN01,Orange & Neroli Mini Deodorant,1.0
FF5195120,SO5767721,2890092,Shopify EU,2026-06-21 08:50:27.210816+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5195182,SO5767783,AUS357681,Shopify AUS,2026-06-21 09:08:51.759474+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR1245,Lip Balm Refill: Vanilla Frost,1.0
FF5195185,SO5767786,#5943028,Shopify UK,2026-06-21 09:09:44.568091+00:00,Airbox (EU),2026-06-21,Airbox,WCROC2756,Roll On Case: Forest Green,1.0
FF5195185,SO5767786,#5943028,Shopify UK,2026-06-21 09:09:44.568091+00:00,Airbox (EU),2026-06-21,Airbox,WCROC2756,Roll On Case: Forest Green,2.0
FF5195195,SO5767796,#5943033,Shopify UK,2026-06-21 09:13:13.780267+00:00,Airbox (EU),2026-06-21,Airbox,WCRO24,Roll On Refill: Fresh Cotton & Sea Salt,2.0
FF5195247,SO5767849,2890138,Shopify EU,2026-06-21 09:24:38.398951+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5195313,SO5767919,#5943108,Shopify UK,2026-06-21 09:43:26.350329+00:00,Stord (US),2026-06-21,Stord,WCBWMIN1283,Juicy Mango Body Wash Mini,1.0
FF5195313,SO5767919,#5943108,Shopify UK,2026-06-21 09:43:26.350329+00:00,Stord (US),2026-06-21,Stord,WCROA3776,AP Roll On Enchanted Bloom,1.0
FF5195313,SO5767919,#5943108,Shopify UK,2026-06-21 09:43:26.350329+00:00,Stord (US),2026-06-21,Stord,WCROA3777,AP Roll On Island Paradise,1.0
FF5195313,SO5767919,#5943108,Shopify UK,2026-06-21 09:43:26.350329+00:00,Stord (US),2026-06-21,Stord,WSOAPH608,Amber & Oud Hand Soap,2.0
FF5195379,SO5767985,#5943146,Shopify UK,2026-06-21 10:01:10.419371+00:00,Airbox (EU),2026-06-21,Airbox,WCROC2556,Roll On Case: Chrome,1.0
FF5195397,SO5768003,AUS357675,Shopify AUS,2026-06-21 10:05:05.661972+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCBWR3278,Body Wash Refill: Peachy Kiss,1.0
FF5195515,SO5768121,#5943151,Shopify UK,2026-06-21 10:37:03.965359+00:00,Airbox (EU),2026-06-21,Airbox,WCROC3130,Roll On Case: Leopard,1.0
FF5195537,SO5768143,2890214,Shopify EU,2026-06-21 10:43:57.087348+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCC20,Purple Deodorant Case,1.0
FF5195615,SO5768221,2890245,Shopify EU,2026-06-21 11:06:22.841661+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5195722,SO5768328,2890337,Shopify EU,2026-06-21 11:40:08.358180+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5195744,SO5768350,US894183,Shopify USA,2026-06-21 11:46:38.370522+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCBWR1964,Citrus Burst Body Wash Refill 300ml,1.0
FF5195785,SO5768391,#5943280,Shopify UK,2026-06-21 11:57:02.587985+00:00,Airbox (EU),2026-06-21,Airbox,WCLC864,Rose Lip Balm Case,1.0
FF5195785,SO5768391,#5943280,Shopify UK,2026-06-21 11:57:02.587985+00:00,Airbox (EU),2026-06-21,Airbox,WCROC2756,Roll On Case: Forest Green,1.0
FF5195886,SO5768492,2890396,Shopify EU,2026-06-21 12:32:11.872156+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCROL747,Roll On Roller: Blue,1.0
FF5195888,SO5768494,2890394,Shopify EU,2026-06-21 12:32:22.093203+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5195913,SO5768519,2890406,Shopify EU,2026-06-21 12:38:19.668964+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5196009,SO5768615,2890445,Shopify EU,2026-06-21 13:05:28.542099+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5196026,SO5768631,2890412,Shopify EU,2026-06-21 13:11:52.096124+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5196066,SO5768671,#5943367,Shopify UK,2026-06-21 13:20:18.354975+00:00,Airbox (EU),2026-06-21,Airbox,WCROC3129,Roll on Case: Valentine's Day Hearts,2.0
FF5196066,SO5768671,#5943367,Shopify UK,2026-06-21 13:20:18.354975+00:00,Airbox (EU),2026-06-21,Airbox,WCROC3130,Roll On Case: Leopard,2.0
FF5196271,SO5768876,2890537,Shopify EU,2026-06-21 14:18:51.998071+00:00,Airbox (EU),2026-06-21,Airbox,WCROC3333,Roll On Case: Miffy,1.0
FF5196365,SO5768970,#5943450,Shopify UK,2026-06-21 14:50:07.768197+00:00,Stord (US),2026-06-21,Stord,WCROA24,AP Roll On: Cotton & Seasalt,1.0
FF5196365,SO5768970,#5943450,Shopify UK,2026-06-21 14:50:07.768197+00:00,Stord (US),2026-06-21,Stord,WCROA3776,AP Roll On Enchanted Bloom,1.0
FF5196365,SO5768970,#5943450,Shopify UK,2026-06-21 14:50:07.768197+00:00,Stord (US),2026-06-21,Stord,WCROA507,Roll On AP: Thunderstorm,1.0
FF5196365,SO5768970,#5943450,Shopify UK,2026-06-21 14:50:07.768197+00:00,Stord (US),2026-06-21,Stord,WCROA608,Roll On AP: Amber & Oud,2.0
FF5196365,SO5768970,#5943450,Shopify UK,2026-06-21 14:50:07.768197+00:00,Stord (US),2026-06-21,Stord,WCROC2738,Roll On Case: Love Heart,1.0
FF5196365,SO5768970,#5943450,Shopify UK,2026-06-21 14:50:07.768197+00:00,Stord (US),2026-06-21,Stord,WCROC2756,Roll On Case: Forest Green,1.0
FF5196471,SO5769076,2890578,Shopify EU,2026-06-21 15:21:40.345306+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5196547,SO5769152,US894303,Shopify USA,2026-06-21 15:36:59.795837+00:00,Airbox (EU),2026-06-21,Airbox,WCR251,Elderflower & Cucumber - initial_delivery,1.0
FF5196556,SO5769161,#5943505,Shopify UK,2026-06-21 15:39:29.836499+00:00,Airbox (EU),2026-06-21,Airbox,WCR251,Elderflower & Cucumber - initial_delivery,1.0
FF5196572,SO5769177,2890609,Shopify EU,2026-06-21 15:43:12.929557+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5196584,SO5769189,#5943511,Shopify UK,2026-06-21 15:46:16.338769+00:00,Airbox (EU),2026-06-21,Airbox,WCC1981,EBW Pink Heart Deo Case,1.0
