product/rec_name,from_location/rec_name,to_location/rec_name,quantity,uom/rec_name,planned_date,effective_date,state,tpl_sku
[WSRP1823-EU] AMZ EU Mens Refill trio,FBA GE - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093] Refill variety pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR251] Elderflower & Cucumber - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR86] Cedar & Sandalwood - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3776] Deo Refill: Enchanted Bloom,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC06] Aqua Deodorant Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WMIN24] Fresh Cotton & Sea Salt Mini Deodorant,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093] Refill variety pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP575-US] US Coconut 40g Refill 3 Pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP2903-US] AMZ Black & Honey Starter,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCLR619V2] Original Lip Balm Refill V2,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCROC3774] Roll On Case: Stitch,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCROA3777] AP Roll On Island Paradise,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC3774] Deo Case: Disney Stitch,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3777] Deo Refill: Island Paradise,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3776] Deo Refill: Enchanted Bloom,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3805] Deo Refill: Morning Meadow,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
