SKU,Item Name,Order URL,Order Number,Order Line Status,Preferred Origin Facility,Brand,Custom Reference,Orderline Number,Priority,Date,Channel,Quantity
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa62ff26-9897-4af1-b2f3-e8234168ec75"" target=""_blank"" style=""color:  #1463FF"">WCR02</a>",Coconut & Vanilla Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/06be48a7-d3bb-4224-ab57-af2d618ddbc5"" target=""_blank"" style=""color:  #1463FF"">FF5140716</a>",FF5140716,backordered,ATLs001,Wild,#5927853,1,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa62ff26-9897-4af1-b2f3-e8234168ec75"" target=""_blank"" style=""color:  #1463FF"">WCR02</a>",Coconut & Vanilla Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/b88aa232-2ce4-4784-afec-c844c91edb5e"" target=""_blank"" style=""color:  #1463FF"">FF5143975</a>",FF5143975,backordered,ATLs001,Wild,US880652,2,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/b88aa232-2ce4-4784-afec-c844c91edb5e"" target=""_blank"" style=""color:  #1463FF"">FF5143975</a>",FF5143975,backordered,ATLs001,Wild,US880652,4,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/c3bc949d-1fc5-4aea-874f-2357a6bbf70f"" target=""_blank"" style=""color:  #1463FF"">WCROL20</a>",Roll On Roller: Purple,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/0cbd7b64-73e7-4ea6-9d95-ff8879b32720"" target=""_blank"" style=""color:  #1463FF"">FF5144330</a>",FF5144330,backordered,ATLs001,Wild Cosmetics,US880731,1,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/f7a4ba37-a4d8-4d4f-88b0-f00fa9d23da4"" target=""_blank"" style=""color:  #1463FF"">FF5144524</a>",FF5144524,backordered,ATLs001,Wild,WCS36479,1,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa890066-1925-4cd7-bc20-7aef9f8a582a"" target=""_blank"" style=""color:  #1463FF"">WRREF2465</a>",Deo US Cozy Nights Duo,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/9c198843-b034-420b-83fd-8c75f068eef1"" target=""_blank"" style=""color:  #1463FF"">FF5146218</a>",FF5146218,backordered,ATLs001,Wild,US881144,4,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa890066-1925-4cd7-bc20-7aef9f8a582a"" target=""_blank"" style=""color:  #1463FF"">WRREF2465</a>",Deo US Cozy Nights Duo,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/78376a70-7f8f-43ba-a6a5-50d6045c373a"" target=""_blank"" style=""color:  #1463FF"">FF5146364</a>",FF5146364,backordered,ATLs001,Wild,US881170,2,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa890066-1925-4cd7-bc20-7aef9f8a582a"" target=""_blank"" style=""color:  #1463FF"">WRREF2465</a>",Deo US Cozy Nights Duo,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/e1200a67-7405-4ee6-8963-b3451a56b289"" target=""_blank"" style=""color:  #1463FF"">FF5147158</a>",FF5147158,backordered,ATLs001,Wild,US881329,3,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa890066-1925-4cd7-bc20-7aef9f8a582a"" target=""_blank"" style=""color:  #1463FF"">WRREF2465</a>",Deo US Cozy Nights Duo,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/37166b6e-5bb3-4c69-8b80-f36032bdeab8"" target=""_blank"" style=""color:  #1463FF"">FF5147661</a>",FF5147661,backordered,ATLs001,Wild,US881411,4,Medium,2026-06-15,D2C,2
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa890066-1925-4cd7-bc20-7aef9f8a582a"" target=""_blank"" style=""color:  #1463FF"">WRREF2465</a>",Deo US Cozy Nights Duo,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/37f5325b-458e-4470-8788-4f53797df9fb"" target=""_blank"" style=""color:  #1463FF"">FF5147750</a>",FF5147750,backordered,ATLs001,Wild,US881501,10,Medium,2026-06-15,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa62ff26-9897-4af1-b2f3-e8234168ec75"" target=""_blank"" style=""color:  #1463FF"">WCR02</a>",Coconut & Vanilla Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/f1f0aac4-0b0a-4b99-be27-5a175da8be12"" target=""_blank"" style=""color:  #1463FF"">FF5138655</a>",FF5138655,backordered,ATLs001,Wild,AUS354964,3,Medium,2026-06-14,D2C,1
