SKU,Item Name,Order URL,Order Number,Order Line Status,Preferred Origin Facility,Brand,Custom Reference,Orderline Number,Priority,Date,Channel,Quantity
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/31cb7796-ab83-4cf0-ba26-bb54b0551013"" target=""_blank"" style=""color:  #1463FF"">FF5067348</a>",FF5067348,backordered,ATLs001,Wild,US863730,4,Medium,2026-06-06,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/31cb7796-ab83-4cf0-ba26-bb54b0551013"" target=""_blank"" style=""color:  #1463FF"">FF5067348</a>",FF5067348,backordered,ATLs001,Wild,US863730,1,Medium,2026-06-06,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/15bc3e86-4445-4f20-877e-02ae5c7b17c5"" target=""_blank"" style=""color:  #1463FF"">FF5067374</a>",FF5067374,backordered,ATLs001,Wild,US863760,1,Medium,2026-06-06,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/15bc3e86-4445-4f20-877e-02ae5c7b17c5"" target=""_blank"" style=""color:  #1463FF"">FF5067374</a>",FF5067374,backordered,ATLs001,Wild,US863760,4,Medium,2026-06-06,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/d8b158fb-c1d8-40c5-b564-4be6d9f56e5c"" target=""_blank"" style=""color:  #1463FF"">WCRS1924</a>",Coconut Cream sens. Deo Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/62aae756-3176-4450-b01c-024810ab8267"" target=""_blank"" style=""color:  #1463FF"">FF5038422</a>",FF5038422,backordered,ATLs001,Wild,US857800,1,Medium,2026-06-03,D2C,3
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/fa1ce1ad-348a-4c35-a2f9-decbe99488e3"" target=""_blank"" style=""color:  #1463FF"">WCC1905</a>",Cath Kidston Bird Deo Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/499285d4-4bd6-4f3a-81a6-796502616803"" target=""_blank"" style=""color:  #1463FF"">FF5040994</a>",FF5040994,backordered,ATLs001,Wild,#5897069,1,Medium,2026-06-03,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/fa1ce1ad-348a-4c35-a2f9-decbe99488e3"" target=""_blank"" style=""color:  #1463FF"">WCC1905</a>",Cath Kidston Bird Deo Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/3ffe108d-27a5-459a-a954-8fc1601f61d9"" target=""_blank"" style=""color:  #1463FF"">FF5044928</a>",FF5044928,backordered,ATLs001,Wild,#5898180,1,Medium,2026-06-03,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/2efa0669-fea0-4731-9c9b-445ba4b70a84"" target=""_blank"" style=""color:  #1463FF"">FF5045256</a>",FF5045256,backordered,ATLs001,Wild,#5898304,4,Medium,2026-06-03,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/4893a7ca-411e-4eea-87aa-77fa30409c9b"" target=""_blank"" style=""color:  #1463FF"">FF5022089</a>",FF5022089,backordered,ATLs001,Wild,US855170,2,Medium,2026-06-02,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/947d3719-06b9-45be-b148-f36360e1e585"" target=""_blank"" style=""color:  #1463FF"">WSOAPE1244</a>",Lavender Exfoliating Soap,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/4893a7ca-411e-4eea-87aa-77fa30409c9b"" target=""_blank"" style=""color:  #1463FF"">FF5022089</a>",FF5022089,backordered,ATLs001,Wild,US855170,4,Medium,2026-06-02,D2C,1
